pca_x,pca_y,tsne_x,tsne_y,station,aqi_category
1.1788971103085057,-1.5869521917884404,18.168274,-16.395985,Wanliu,Unhealthy for Sensitive Groups
4.201235486035428,1.874748338428867,25.911203,13.529484,Gucheng,Hazardous
1.0357367921275331,0.6036347655349591,10.71307,2.8001337,Tiantan,Unhealthy
3.095782520257166,0.2858131273045616,29.627197,-2.969914,Wanshouxigong,Very Unhealthy
-1.1487288358193306,0.6403880570769875,-11.20833,13.541355,Dongsi,Unhealthy for Sensitive Groups
0.39145982222505654,-1.0956905137145165,2.0057356,-19.887611,Dongsi,Moderate
-1.9464269062775676,-0.8173799226410644,-24.334713,-17.20438,Shunyi,Moderate
-2.4468721161519906,-0.06267001647817609,-26.26412,-5.665125,Tiantan,Good
-0.04522420659607516,1.0395314784026757,10.163814,26.528648,Dingling,Very Unhealthy
-2.504835139764315,0.6410219358500112,-28.57184,-2.1849282,Dongsi,Good
0.7946687517021556,-1.9816806017321982,13.9211445,-20.64425,Dongsi,Unhealthy
0.2397966394015806,-2.1159280657961443,1.5853944,-20.496782,Dongsi,Moderate
-1.132626170344315,-3.4541972125311533,-16.273907,-30.725283,Gucheng,Good
-1.5016034032116732,0.19914683758685592,-12.954087,0.09568914,Dingling,Moderate
1.480655393432349,0.48923962513269265,18.477465,5.3521276,Huairou,Very Unhealthy
-0.5406899695075538,1.4500792540644423,-2.8520622,26.307545,Huairou,Unhealthy
1.9746129522716185,-0.014150088719061244,20.635553,3.5248437,Nongzhanguan,Very Unhealthy
6.000040459033962,0.7166079705592805,38.259014,4.126889,Guanyuan,Very Unhealthy
-1.7362373533404074,-0.3307793359235099,-13.377491,-6.8742466,Changping,Moderate
-2.3799270592977604,0.8931439625641536,-28.228123,6.35353,Shunyi,Moderate
-0.9465172454377444,0.7013549485841676,-18.455988,-5.646226,Aotizhongxin,Unhealthy
0.33204167514655275,0.876827591995708,6.372868,0.20128772,Wanliu,Unhealthy
1.879106631785663,-0.9275160839224486,23.953339,-10.580534,Dingling,Unhealthy
2.3473698055994054,1.365992877175922,19.904562,12.331503,Shunyi,Unhealthy
-1.5119317836081534,1.2795503404953343,-6.2274575,21.152006,Changping,Unhealthy for Sensitive Groups
1.142855328074078,-1.5617297780275874,17.588135,-15.865062,Dongsi,Moderate
-2.972526150090273,2.577702663408955,-25.916956,26.529299,Tiantan,Unhealthy
